timestamp,dc_id,sku_id,predicted_demand,opening_stock_units,forecast_hour_offset
2025-12-07 23:00:00,DC_DAMMAM,SKU_101,9.0,0,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_102,9.0,6,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_103,7.0,601,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_201,9.0,116,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_202,11.0,248,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_301,8.0,722,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_302,8.0,1,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_303,7.0,465,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_304,8.0,0,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_305,7.0,440,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_306,7.0,8,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_401,10.0,0,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_402,9.0,2,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_501,9.0,5,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_502,9.0,121,1
2025-12-07 23:00:00,DC_DAMMAM,SKU_503,7.0,402,1
2025-12-07 23:00:00,DC_DUBAI,SKU_101,8.0,496,1
2025-12-07 23:00:00,DC_DUBAI,SKU_102,10.0,0,1
2025-12-07 23:00:00,DC_DUBAI,SKU_103,10.0,198,1
2025-12-07 23:00:00,DC_DUBAI,SKU_201,9.0,0,1
2025-12-07 23:00:00,DC_DUBAI,SKU_202,9.0,0,1
2025-12-07 23:00:00,DC_DUBAI,SKU_301,7.0,585,1
2025-12-07 23:00:00,DC_DUBAI,SKU_302,8.0,1,1
2025-12-07 23:00:00,DC_DUBAI,SKU_303,7.0,3,1
2025-12-07 23:00:00,DC_DUBAI,SKU_304,8.0,472,1
2025-12-07 23:00:00,DC_DUBAI,SKU_305,7.0,0,1
2025-12-07 23:00:00,DC_DUBAI,SKU_306,8.0,183,1
2025-12-07 23:00:00,DC_DUBAI,SKU_401,7.0,117,1
2025-12-07 23:00:00,DC_DUBAI,SKU_402,9.0,519,1
2025-12-07 23:00:00,DC_DUBAI,SKU_501,10.0,98,1
2025-12-07 23:00:00,DC_DUBAI,SKU_502,8.0,617,1
2025-12-07 23:00:00,DC_DUBAI,SKU_503,8.0,550,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_101,10.0,213,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_102,10.0,704,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_103,8.0,0,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_201,7.0,3,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_202,14.0,0,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_301,7.0,0,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_302,9.0,501,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_303,7.0,29,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_304,7.0,84,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_305,8.0,455,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_306,9.0,0,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_401,12.0,178,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_402,9.0,470,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_501,8.0,481,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_502,10.0,0,1
2025-12-07 23:00:00,DC_JEDDAH,SKU_503,7.0,529,1
2025-12-07 23:00:00,DC_RIYADH,SKU_101,10.0,300,1
2025-12-07 23:00:00,DC_RIYADH,SKU_102,10.0,24,1
2025-12-07 23:00:00,DC_RIYADH,SKU_103,9.0,0,1
2025-12-07 23:00:00,DC_RIYADH,SKU_201,11.0,27,1
